Order ID,Order Status,Cancel reason,Return / Refund Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Parent SKU Reference No.,Product Name,SKU Reference No.,Variation Name,Original Price,Deal Price,Quantity,Product Subtotal,Seller Rebate,Seller Discount,Shopee Rebate,SKU Total Weight,No of product in order,Order Total Weight,Voucher Code,Seller Voucher,Seller Absorbed Coin Cashback,Shopee Voucher,Bundle Deal Indicator,Shopee Bundle Discount,Seller Bundle Discount,Shopee Coins Offset,Credit Card Discount Total,Total Amount,Buyer Paid Shipping Fee,Transaction Fee,Commission Fee,Service Fee,Grand Total,Estimated Shipping Fee,Username (Buyer),Remark from buyer,Order Complete Time,Note
2010016JAB6BST,Cancelled,Cancelled automatically by Shopee's system. Reason: Payment not received,,,Standard Delivery,Dropoff,,,2020/10/1 12:30,-,KT-??02,Ready Stock  High Quality Fashion Kids Socks  boy&girls comfortable and breathable socks Candy colors,KT-??02_Fivecolors_XL?8-12??,"Five colors,XL?8-12 year old?",31.99,9.59,1,9.59,22.4,22.4,0,0.03,2,0.53,LUCAA,1,0,0,N,0,0,0,0,43.68,5.2,0.85,0,2.25,42.68,5.2,murnie_husain,,,
2010016P7ES5VE,Completed,,,MY204747252252I,Standard Delivery,Dropoff,2020/10/12 13:43,2020/10/5 11:04,2020/10/1 13:40,2020/10/1 13:43,KT-S05,Ready Stock Kids Shoes Net Breathable Casual Shoes Boys Girlscandy color non-slip wear-resistant breathable shoes,KT-S05,"pink,24",37,25.9,1,25.9,11.1,11.1,0,0.5,1,0.5,FSV-60641745,0,0,0,N,0,0,0,0,25.9,0,0.52,0,1.55,25.9,5.2,gmzieyblackmoster,,2020/10/12 16:25,
2010016SSBQCTH,Cancelled,Cancelled by buyer. Reason: Need to change delivery address,,,Standard Delivery,Dropoff,,,2020/10/1 14:44,-,KT-??262,Ready Stock Kids Shoes Children's Sports Shoes Velcro Soft Running Shoes,KT-262_??_28,"pink,28",53.6,35.99,1,35.99,17.61,17.61,0,0.5,1,0.5,LUCAA,1,0,0,N,0,0,0,0,41.99,6,0.82,0,2.1,40.99,6,jesswinwood,,,
2010016U6HWYE9,Completed,,,MY204051176123S,Standard Delivery,Dropoff,2020/10/12 15:18,2020/10/3 13:34,2020/10/1 15:09,2020/10/1 15:18,KT-??262,Ready Stock Kids Shoes Children's Sports Shoes Velcro Soft Running Shoes,KT-262_??_28,"pink,28",53.6,35.99,1,35.99,17.61,17.61,0,0.5,1,0.5,LUCAA;FSV-60641745,1,0,0,N,0,0,0,0,35.99,0,0.7,0,2.1,34.99,6,jesswinwood,,2020/10/14 13:27,
201001715HJCP2,Completed,,,MY204778450591G,Standard Delivery,Dropoff,2020/10/12 16:59,2020/10/3 13:44,2020/10/1 16:56,2020/10/1 16:59,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Black,34",38.53,28.89,1,28.89,9.64,9.64,0,0.5,1,0.5,,0,0,0,N,0,0,0,0,34.09,5.2,0.68,0,1.73,34.09,5.2,28oct68,,2020/10/15 7:36,
20100174B9FDM0,Cancelled,Cancelled by buyer. Reason: Need to modify order,,,Standard Delivery,Dropoff,,,2020/10/1 17:53,-,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Blue,32",38.53,28.89,1,28.89,9.64,9.64,0,0.5,1,0.5,LUCAA,1,0,0,N,0,0,0,0,34.89,6,0.68,0,1.67,33.89,6,semuthidup,,,
20100174HFRFG9,Completed,,,MY204833305286H,Standard Delivery,Dropoff,2020/10/12 17:58,2020/10/3 13:34,2020/10/1 17:56,2020/10/1 17:58,KT696,Ready Stock Kids Shoes ULTRAMAN Kid's Sandals Velcro Casual Shoes Luminous Sole,KT696_??_31,"blue,31?with light?",60,42,1,42,18,18,0,0.3,1,0.3,LUCAA;FSV-60641745,1,0,0,N,0,0,0,0,42,0,0.82,0,2.46,41,5.2,thekidsville,,2020/10/12 13:33,
20100174SWVJC1,Cancelled,Cancelled by buyer. Reason: Need to modify order,,,Standard Delivery,Dropoff,,,2020/10/1 18:01,-,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Blue,32",38.53,28.89,1,28.89,9.64,9.64,0,0.5,1,0.5,,0,0,0,N,0,0,0,0,34.89,6,0.7,0,1.73,34.89,6,semuthidup,,,
201001757AWV34,Completed,,,MY205311668110F,Standard Delivery,Dropoff,2020/10/12 18:10,2020/10/3 13:34,2020/10/1 18:08,2020/10/1 18:10,KT-???292,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Black,28",34.53,25.89,1,25.89,8.64,8.64,0,0.5,1,0.5,,0,0,0,N,0,0,0,0,31.89,6,0.64,0,1.55,31.89,6,maufalhaider,,2020/10/20 14:47,
2010017AJ861SP,Cancelled,Cancelled by buyer. Reason: Payment procedure too troublesome,,,Standard Delivery,Dropoff,,,2020/10/1 19:44,-,KT-??01,commodity replacement link,KT-??01,,0.1,0.1,1,0.1,0,0,0,0.2,1,0.2,,0,0,0,N,0,0,0,0,0.1,0,0,0,0.01,0.1,0,ctfatimah79,,,
