Order ID,Order Status,Cancel reason,Return / Refund Status,Tracking Number,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Parent SKU Reference No.,Product Name,SKU Reference No.,Variation Name,Original Price,Deal Price,Quantity,Product Subtotal,Seller Rebate,Seller Discount,Shopee Rebate,SKU Total Weight,No of product in order,Order Total Weight,Voucher Code,Seller Voucher,Seller Absorbed Coin Cashback,Shopee Voucher,Bundle Deal Indicator,Shopee Bundle Discount,Seller Bundle Discount,Shopee Coins Offset,Credit Card Discount Total,Total Amount,Buyer Paid Shipping Fee,Transaction Fee,Commission Fee,Service Fee,Grand Total,Estimated Shipping Fee,Username (Buyer),Remark from buyer,Order Complete Time,Note
20092801EEUEMU,Completed,,,MY209285506843Y,Standard Delivery,Dropoff,2020/9/30 22:12,2020/9/30 20:24,2020/9/28 22:12,2020/9/28 22:12,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Blue,32",38.53,28.89,1,28.89,9.64,9.64,0,0.5,3,1.5,,0,0,0,N,0,0,0,0,98.47,11.8,1.97,0,6.07,98.47,11.8,karinshikato,,2020/10/7 13:09,
20092801EEUEMU,Completed,,,MY209285506843Y,Standard Delivery,Dropoff,2020/9/30 22:12,2020/9/30 20:24,2020/9/28 22:12,2020/9/28 22:12,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Black,34",38.53,28.89,1,28.89,9.64,9.64,0,0.5,3,1.5,,0,0,0,N,0,0,0,0,98.47,11.8,1.97,0,6.07,98.47,11.8,karinshikato,,2020/10/7 13:09,
20092801EEUEMU,Completed,,,MY209285506843Y,Standard Delivery,Dropoff,2020/9/30 22:12,2020/9/30 20:24,2020/9/28 22:12,2020/9/28 22:12,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Pink,30",38.53,28.89,1,28.89,9.64,9.64,0,0.5,3,1.5,,0,0,0,N,0,0,0,0,98.47,11.8,1.97,0,6.07,98.47,11.8,karinshikato,,2020/10/7 13:09,
20092805P7AGG9,Cancelled,Cancelled automatically by Shopee's system. Reason: Payment not received,,,Standard Delivery,Dropoff,,,2020/9/28 23:28,-,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Black,35",38.53,28.89,1,28.89,9.64,9.64,0,0.5,2,1,LUCAA,1,0,0,N,0,0,0,0,65.98,8.2,1.3,0,3.97,64.98,8.2,wanmdsalleh84,,,
20092805P7AGG9,Cancelled,Cancelled automatically by Shopee's system. Reason: Payment not received,,,Standard Delivery,Dropoff,,,2020/9/28 23:28,-,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Black,34",38.53,28.89,1,28.89,9.64,9.64,0,0.5,2,1,LUCAA,1,0,0,N,0,0,0,0,65.98,8.2,1.3,0,3.97,64.98,8.2,wanmdsalleh84,,,
20092910XJ1XYB,Cancelled,Cancelled by buyer. Reason: Others,,,Standard Delivery,Dropoff,,,2020/9/29 7:36,-,KT-???292,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Pink,30",38.53,28.89,1,28.89,9.64,9.64,0,0.5,2,1,LUCAA,1,0,0,N,0,0,0,0,65.98,8.2,1.3,0,3.97,64.98,8.2,yah4496,,,
20092910XJ1XYB,Cancelled,Cancelled by buyer. Reason: Others,,,Standard Delivery,Dropoff,,,2020/9/29 7:36,-,KT-???292,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Pink,33",38.53,28.89,1,28.89,9.64,9.64,0,0.5,2,1,LUCAA,1,0,0,N,0,0,0,0,65.98,8.2,1.3,0,3.97,64.98,8.2,yah4496,,,
200929111KBXU2,Completed,,,MY209117464274N,Standard Delivery,Dropoff,2020/10/9 8:07,2020/9/30 20:24,2020/9/29 7:38,2020/9/29 8:07,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Blue,34",38.53,28.89,1,28.89,9.64,9.64,0,0.5,1,0.5,LUCAA,1,0,0,N,0,0,0,0,34.89,6,0.68,0,1.95,33.89,6,chentasaly,,2020/10/7 16:25,?????????????????????KT-???292-2 35?
200929151BXP2S,Shipping,,,MY2026899129738,Standard Delivery,Dropoff,2020/10/9 8:50,2020/9/30 20:15,2020/9/29 8:49,2020/9/29 8:50,KT-A812,Ready Stock Kids Shoes Canvas Shoes Casual Shoes Velcro Skateboard Shoes,KT-A812,"black,36",31.5,23.62,1,23.62,7.88,7.88,0,0.5,1,0.5,,0,0,0,N,0,0,0,0,29.62,6,0.59,0,1.65,29.62,6,ramleemrhook,,,
2009291FWY0TSK,Completed,,,MY204409808591N,Standard Delivery,Dropoff,2020/10/9 12:10,2020/9/30 20:24,2020/9/29 12:04,2020/9/29 12:10,KT-???292,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Pink,35",38.53,28.89,1,28.89,9.64,9.64,0,0.5,1,0.5,LUCAA,1,0,0,N,0,0,0,0,34.09,5.2,0.66,0,1.95,33.09,5.2,im_xscar7,,2020/10/8 15:58,
2009291GGJ02PC,Shipping,,,MY209372222012G,Standard Delivery,Dropoff,2020/10/9 12:15,2020/9/30 20:24,2020/9/29 12:14,2020/9/29 12:15,KT-??262,Ready Stock Kids Shoes Children's Sports Shoes Velcro Soft Running Shoes,KT-262_??_34,"pink,34",56.9,39.83,1,39.83,17.07,17.07,0,0.5,1,0.5,LUCAA;FSV-58706410,1,0,0,N,0,0,0,0,39.83,0,0.78,0,2.72,38.83,6,sukasukashope,,,
2009291KNV95RR,Shipping,,,MY2038280836667,Standard Delivery,Dropoff,2020/10/16 13:12,2020/10/3 13:34,2020/9/29 13:11,2020/9/29 13:12,KT-??02,Ready Stock  High Quality Fashion Kids Socks  boy&girls comfortable and breathable socks Candy colors,KT-??02_Fivecolors_S?1-3??,"Five colors,S?1-3 year old?",31.99,23.99,1,23.99,8,8,0,0.03,10,1.92,LUCAC,10,0,0,N,0,0,0,0,219.02,16.2,4.18,0,13.5,209.02,16.2,ninara17,,,
2009291KNV95RR,Shipping,,,MY2038280836667,Standard Delivery,Dropoff,2020/10/16 13:12,2020/10/3 13:34,2020/9/29 13:11,2020/9/29 13:12,KT-??02,Ready Stock  High Quality Fashion Kids Socks  boy&girls comfortable and breathable socks Candy colors,KT-??02_Fivecolors_S?1-3??,"Five colors,S?1-3 year old?",31.99,9.59,1,9.59,22.4,22.4,0,0.03,10,1.92,LUCAC,10,0,0,N,0,0,0,0,219.02,16.2,4.18,0,13.5,209.02,16.2,ninara17,,,
2009291KNV95RR,Shipping,,,MY2038280836667,Standard Delivery,Dropoff,2020/10/16 13:12,2020/10/3 13:34,2020/9/29 13:11,2020/9/29 13:12,KT-??02,Ready Stock  High Quality Fashion Kids Socks  boy&girls comfortable and breathable socks Candy colors,KT-??02_Fivecolors_L?6-8??,"Five colors,L?6-8 year old?",31.99,23.99,1,23.99,8,8,0,0.03,10,1.92,LUCAC,10,0,0,N,0,0,0,0,219.02,16.2,4.18,0,13.5,209.02,16.2,ninara17,,,
2009291KNV95RR,Shipping,,,MY2038280836667,Standard Delivery,Dropoff,2020/10/16 13:12,2020/10/3 13:34,2020/9/29 13:11,2020/9/29 13:12,KT-??02,Ready Stock  High Quality Fashion Kids Socks  boy&girls comfortable and breathable socks Candy colors,KT-??02_Fivecolors_L?6-8??,"Five colors,L?6-8 year old?",31.99,9.59,1,9.59,22.4,22.4,0,0.03,10,1.92,LUCAC,10,0,0,N,0,0,0,0,219.02,16.2,4.18,0,13.5,209.02,16.2,ninara17,,,
2009291KNV95RR,Shipping,,,MY2038280836667,Standard Delivery,Dropoff,2020/10/16 13:12,2020/10/3 13:34,2020/9/29 13:11,2020/9/29 13:12,KT-S05,Ready Stock Kids Shoes Net Breathable Casual Shoes Boys Girlscandy color non-slip wear-resistant breathable shoes,KT-S05,"black,23",28.3,19.8,1,19.8,8.5,8.5,0,0.5,10,1.92,LUCAC,10,0,0,N,0,0,0,0,219.02,16.2,4.18,0,13.5,209.02,16.2,ninara17,,,
2009291KNV95RR,Shipping,,,MY2038280836667,Standard Delivery,Dropoff,2020/10/16 13:12,2020/10/3 13:34,2020/9/29 13:11,2020/9/29 13:12,KT-S05,Ready Stock Kids Shoes Net Breathable Casual Shoes Boys Girlscandy color non-slip wear-resistant breathable shoes,KT-S05,"black,24",37,25.9,1,25.9,11.1,11.1,0,0.5,10,1.92,LUCAC,10,0,0,N,0,0,0,0,219.02,16.2,4.18,0,13.5,209.02,16.2,ninara17,,,
2009291KNV95RR,Shipping,,,MY2038280836667,Standard Delivery,Dropoff,2020/10/16 13:12,2020/10/3 13:34,2020/9/29 13:11,2020/9/29 13:12,KT-??C114,Ready Stock High Quality Fashion kids Cute Socks Colorful Stokin,KT-??C114_Fivepairsofsocks_S?1-3yearsold?,"Five pairs of socks,S?1-3 years old?",33.32,24.99,1,24.99,8.33,8.33,0,0.2,10,1.92,LUCAC,10,0,0,N,0,0,0,0,219.02,16.2,4.18,0,13.5,209.02,16.2,ninara17,,,
2009291KNV95RR,Shipping,,,MY2038280836667,Standard Delivery,Dropoff,2020/10/16 13:12,2020/10/3 13:34,2020/9/29 13:11,2020/9/29 13:12,KT-??C114,Ready Stock High Quality Fashion kids Cute Socks Colorful Stokin,KT-??C114_Fivepairsofsocks_S?1-3yearsold?,"Five pairs of socks,S?1-3 years old?",33.32,19.99,1,19.99,13.33,13.33,0,0.2,10,1.92,LUCAC,10,0,0,N,0,0,0,0,219.02,16.2,4.18,0,13.5,209.02,16.2,ninara17,,,
2009291KNV95RR,Shipping,,,MY2038280836667,Standard Delivery,Dropoff,2020/10/16 13:12,2020/10/3 13:34,2020/9/29 13:11,2020/9/29 13:12,KT-??C114,Ready Stock High Quality Fashion kids Cute Socks Colorful Stokin,KT-??C114_Fivepairsofsocks_L?6-8yearsold?,"Five pairs of socks,L?6-8 years old?",33.32,19.99,1,19.99,13.33,13.33,0,0.2,10,1.92,LUCAC,10,0,0,N,0,0,0,0,219.02,16.2,4.18,0,13.5,209.02,16.2,ninara17,,,
2009291KNV95RR,Shipping,,,MY2038280836667,Standard Delivery,Dropoff,2020/10/16 13:12,2020/10/3 13:34,2020/9/29 13:11,2020/9/29 13:12,KT-??C114,Ready Stock High Quality Fashion kids Cute Socks Colorful Stokin,KT-??C114_Fivepairsofsocks_L?6-8yearsold?,"Five pairs of socks,L?6-8 years old?",33.32,24.99,1,24.99,8.33,8.33,0,0.2,10,1.92,LUCAC,10,0,0,N,0,0,0,0,219.02,16.2,4.18,0,13.5,209.02,16.2,ninara17,,,
2009291RPJGVRU,Cancelled,Cancelled automatically by Shopee's system. Reason: Payment not received,,,Standard Delivery,Dropoff,,,2020/9/29 14:41,-,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Pink,35",38.53,28.89,2,57.78,19.28,19.28,0,1,3,1.5,LUCAB;ABTG1IN230920,5,0,5.8,N,0,0,0,0,100.28,12.6,1.79,0,5.79,89.48,12.6,ratubukit,,,
2009291RPJGVRU,Cancelled,Cancelled automatically by Shopee's system. Reason: Payment not received,,,Standard Delivery,Dropoff,,,2020/9/29 14:41,-,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Pink,36",39.87,29.9,1,29.9,9.97,9.97,0,0.5,3,1.5,LUCAB;ABTG1IN230920,5,0,5.8,N,0,0,0,0,100.28,12.6,1.79,0,5.79,89.48,12.6,ratubukit,,,
2009291TS8PJYS,Completed,,,MY203135430931K,Standard Delivery,Dropoff,2020/10/9 15:19,2020/10/1 14:04,2020/9/29 15:18,2020/9/29 15:19,KT-???292,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Pink,29",38.53,28.89,1,28.89,9.64,9.64,0,0.5,2,1,LUCAA,1,0,0,N,0,0,0,0,65.98,8.2,1.3,0,3.97,64.98,8.2,yah4496,,2020/10/8 17:17,
2009291TS8PJYS,Completed,,,MY203135430931K,Standard Delivery,Dropoff,2020/10/9 15:19,2020/10/1 14:04,2020/9/29 15:18,2020/9/29 15:19,KT-???292,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Pink,33",38.53,28.89,1,28.89,9.64,9.64,0,0.5,2,1,LUCAA,1,0,0,N,0,0,0,0,65.98,8.2,1.3,0,3.97,64.98,8.2,yah4496,,2020/10/8 17:17,
2009291YKXPTNS,Shipping,,,MY207703304672D,Standard Delivery,Dropoff,2020/10/9 16:47,2020/10/1 14:04,2020/9/29 16:45,2020/9/29 16:47,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Blue,37",39.87,29.9,1,29.9,9.97,9.97,0,0.5,1,0.5,,0,0,0,N,0,0,0,0,35.9,6,0.72,0,2.09,35.9,6,elisamendrofa,,,
20092920Y7HGKP,Shipping,,,MY207329699764U,Standard Delivery,Dropoff,2020/10/12 14:40,2020/10/5 11:04,2020/9/29 17:09,2020/10/1 14:40,KT-??819,Ready Stock  Shoes Kids Shoes Boys Shoes Girls Sneakers Kids,,"Blue,25",39.87,24.99,1,24.99,14.88,14.88,0,0.5,1,0.5,LUCAA,1,0,0,N,0,0,0,0,30.99,6,0.6,0,1.68,29.99,6,surianishiela,,,
20092923U2GA27,Cancelled,Cancelled by buyer. Reason: Need to modify order,,,Standard Delivery,Dropoff,,,2020/9/29 18:00,-,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Blue,38",39.87,29.9,1,29.9,9.97,9.97,0,0.5,2,1,LUCAA;FSV-58705857,1,0,0,N,0,0,0,0,62,2.2,1.22,0,4.12,61,8.2,marizwalaili_86,,,
